idx,title,context_type,description
1,肾结石治疗,疾病-治疗,"肾结石治疗方法：
1.肾小结石<1cm未引起任何症状，建议多饮水，定期随访泌尿系统B超或者CT，可以保守治疗
2.肾结石大小在1-1.5cm建议手术治疗，首选方法为输尿管软镜取石，其次考虑经皮肾镜取石术。输尿管软镜取石前对于有明确感染、输尿管狭窄、结石体积较大及术者为初学者等，可预留支架管，以降低手术风险，提高手术成功率;置管时间一般1~2周。术前服用a受体阻滞剂可降低置鞘时的阻力并减少术中行输尿管扩张的风险。
3.肾结石>1.5cm首选行经皮肾镜取石术"
2,前列腺癌治疗,疾病-治疗,"前列腺癌治疗
【局限性前列腺癌】预期寿命超过5年的高危前列腺癌和预期寿命超过10年的中低危前列腺癌，首选根治性前列腺切除术。若患者希望保留更好的尿控或性功能，建议根治性放疗。
【M1a期前列腺癌】前列腺癌发生区域外淋巴结转移，考虑
a.去势治疗：由于前列腺癌细胞的生长往往依赖于男性激素（如睾酮），ADT旨在降低体内的男性激素水平或阻止它们对癌细胞的作用。这可以通过药物（如LHRH拮抗剂）或手术（如去势手术）来实现。
b.新型内分泌治疗：这包括像恩扎卢胺、阿帕他胺、达罗他胺和阿比特龙这样的药物，它们可以在激素治疗失败后使用，或与激素治疗结合使用。
c.放疗：对于淋巴结转移区域不大的患者，可以探索性的针对原发病灶和转移淋巴结进行放疗。
【M1b期前列腺癌】发生骨转移时，治疗的主要目标是控制疾病的进展，缓解症状，改善生活质量，并尽可能延长生存期。以下是针对前列腺癌骨转移的几种常见治疗方案：
a.去势治疗：由于前列腺癌细胞的生长往往依赖于男性激素（如睾酮），ADT旨在降低体内的男性激素水平或阻止它们对癌细胞的作用。这可以通过药物（如LHRH拮抗剂）或手术（如去势手术）来实现。
b.放疗：放疗可以用于减轻由骨转移引起的疼痛，并控制局部病灶。它可以是局部放疗，针对特定的痛点，或者是辐射性核素治疗，如镭-223，它可以针对全身的骨转移。
c.化疗：某些化疗药物，如多西他赛，可能用于治疗进展期或激素抵抗性的前列腺癌。化疗可以减缓病情发展并延长生存期。
d.新型内分泌治疗：这包括像恩扎卢胺、阿帕他胺、达罗他胺和阿比特龙这样的药物，它们可以在激素治疗失败后使用，或与激素治疗结合使用。
e.骨靶向疗法：常规补充钙片（1000～1200mg/d）和维生素D（400～100IU）的同时，合理使用骨保护剂如双膦酸盐类药物和去氮膦酸（Denosumab），用于强化骨骼，减少骨折的风险，并减轻疼痛。
f.免疫疗法：虽然目前在前列腺癌治疗中的应用较少，但某些免疫疗法可能在未来成为治疗选项。
g.姑息治疗：包括疼痛管理和提高生活质量的其他措施。这可能涉及药物、物理治疗和心理支持。""
【T3b期前列腺癌】指的是癌症已经侵犯到精囊腺。这属于局部晚期前列腺癌，治疗策略通常需要综合考虑患者的整体健康状况、癌症的具体特点（如格里森分级、PSA水平）以及患者的偏好。常见的治疗方法包括：
a.放疗：外照射放疗（EBRT）是一种常用方法，有时会与激素疗法（雄激素剥夺疗法，ADT）结合使用。强度调制放射疗法（IMRT）和质子治疗是现代放疗的两种形式。
b.激素疗法：雄激素剥夺疗法（ADT）是通过降低或阻断体内雄激素的作用来抑制癌细胞生长。这可以通过药物或手术（如去势术）来实现。
c.化疗：在一些情况下，尤其是当癌症表现出更侵袭性的特征或者对其他治疗方法有抵抗性时，可能会采用化疗。
d.手术治疗：虽然对于T3b期的前列腺癌，根治性前列腺切除术（RP）的作用受限，但在某些情况下仍可能考虑手术，尤其是如果患者的健康状况良好。
e.靶向治疗和免疫疗法：针对某些特定的遗传变异或免疫特点的新型疗法正在研究和开发中，可能适用于特定的患者。
f.支持性治疗和姑息治疗：针对癌症相关症状（如疼痛）、提高生活质量的治疗。
【T4期前列腺癌】是指癌症已经扩散到前列腺周围的组织，如直肠、膀胱、骨盆壁等。这种晚期前列腺癌的治疗需要综合考虑，通常包括以下几种方法：
a.激素疗法：雄激素剥夺疗法（ADT）是T4期前列腺癌的主要治疗方法。它通过降低或阻断体内雄激素的作用来抑制癌细胞生长。
b.放射疗法：外照射放疗（EBRT）常被用于控制局部症状，如疼痛或出血，并可能与激素疗法结合使用。
c.化疗：对于具有较高侵袭性或已经对激素疗法产生抵抗性的前列腺癌，化疗可能成为治疗选项。
d.靶向治疗和免疫疗法：针对特定的分子靶点或通过激活免疫系统来攻击癌细胞的治疗可能适用于某些患者。
e.姑息治疗：旨在缓解症状和提高生活质量，而不是治愈癌症。这可能包括疼痛管理、放射疗法来缓解骨痛，或手术来处理尿路梗阻。"""
3,前列腺癌 TNM 分期,疾病-状态,"前列腺癌 TNM 分期。
临床分期：Tx 原发肿瘤不能评价。
T0 无原发肿瘤证据，
T1 不可扪及和影像学难以发现的临床隐匿肿瘤，
- T1a 偶发肿瘤，体积小于等于所切除组织体积的 5%，
- T1b 偶发肿瘤，体积大于所切除组织体积的 5%，
- T1c 不可扪及，仅穿刺活检发现的肿瘤(如由于 PSA 升高)，
T2 肿瘤可触及，仅局限于前列腺内，
- T2a 肿瘤限于单叶的1 / 2( ≤ 1 / 2)，
- T2b 肿瘤超过单叶的1/2 但限于该单叶，
- T2c 肿瘤侵犯两叶，
T3肿瘤突破前列腺包膜**，
- T3a 肿瘤侵犯包膜外(单侧或双侧)，
- T3b 肿瘤侵犯精囊，T4 肿瘤固定或侵犯除精囊外的其他邻近组织结构，如膀胱颈、尿道外括约肌、直肠、肛提肌和(或)分壁。
区域淋巴结(N)：，
Nx 区域淋巴结不能评价，
N0 无区域淋巴结转移，
N1 区域淋巴结转移。远处转移(M)：
M0 无远处转移，
M1 远处转移，
- M1a 有区域淋巴结以外的淋巴结转移，
- M1b 骨转移，
- M1c 其他脏器转移，伴或不伴骨转移。
病理分期：
pT2 局限于前列腺；
pT3突破前列腺包膜；
pT3a 突破前列腺包膜(单侧或双侧)或镜下侵犯膀胱颈；
pT3b侵犯精囊；
pT4肿瘤固定或侵犯除精囊外的其他邻近组织结构，如尿道外括约肌、直肠、膀胱、肛提肌和(或)盆壁。"
4,肾囊肿治疗,疾病-治疗,"肾囊肿的治疗
肾囊肿的治疗取决于囊肿的性质（良性还是恶性）、大小、是否引起症状以及是否影响肾功能。大多数肾囊肿是良性的，并不总是需要治疗。
1、肾囊肿保守治疗：对于无症状且不影响肾功能的小囊肿(3.5cm以下)，通常采取观察和定期监测的方法。这可能包括定期进行超声波或CT扫描检查，以监测囊肿的大小和性质。
2、肾囊肿穿刺抽吸+硬化治疗：对于4-8cm的肾囊肿，可以考虑在超声或CT引导下，使用针穿刺囊肿并抽出液体。硬化治疗：在抽吸囊肿液体后，可能会注入硬化剂以减少囊肿复发的可能性。
3、肾囊肿去顶减压术：如囊肿大于8cm或压迫肾盂，建议需要手术切除囊肿，采用腹腔镜下肾囊肿去顶减压术。
4、肾囊肿（Bosniak3级以上）的治疗：如果囊肿被怀疑或证实为恶性，治疗方法建议为肾部分切除术。如果肾脏无法保留，行肾根治性切除术。"
5,低蛋白血症,检查-疾病,低蛋白血症通常通过检测血清白蛋白和总蛋白水平来确认。血浆总蛋白质浓度的正常范围通常为6.4-8.3g/dL，而成人的正常血浆白蛋白浓度范围为3.5-5.5g/dL。当这些数值低于正常范围时，可以考虑为低蛋白血症。
6,低蛋白血症,疾病-建议,血浆总蛋白质浓度的正常范围通常为6.4-8.3g/dL，而成人的正常血浆白蛋白浓度范围为3.5-5.5g/dL。当这些数值低于正常范围时，可以考虑为低蛋白血症，建议注意蛋白质补充改善营养状况，如出现下肢浮肿，浆膜腔积液等症状可给予静脉白蛋白输注。
7,血栓形成(高凝风险),检查-疾病,D-二聚体的升高对血栓形成有提示作用，在深静脉血栓诊断中的敏感性为95%，特异性为40%。阴性可以排除深静脉血栓的可能性。研究表明肿瘤也可以引起患者D-二聚体浓度升高，并且可以作为分期、预后等判断标准。推测与肿瘤患者中高凝血状态是和组织因子依赖的外原性途径和非组织因子相关的肿瘤促凝作用有关。外原性途径被认为是由宿主的单核细胞或者血管内皮细胞激活的。D-二聚体检测的升高并不能说明血栓形成的原因及位置，必须结合临床和其他检测分析结果。
8,血栓形成(高凝风险),疾病-建议,D-二聚体的升高对血栓形成有提示作用，血栓形成可考虑进行低分子肝素治疗或进一步监测血栓弹力图或TAT/PIC指数。
9,血小板减少,检查-疾病,血小板减少常见于多种疾病和情况，主要包括以下几种：血小板生成减少(再生障碍性贫血、急性白血病、巨幼细胞贫血等)，血小板破坏过多(原发性血小板减少性紫癜、系统性红斑狼疮等)，血小板分布异常(脾功能亢进、肝硬化)等原因
10,血小板减少,疾病-建议,血小板减少并不一定意味着存在严重的疾病。在某些情况下，血小板减少可能是暂时性的，如轻度感染或药物反应等。然而，如果血小板减少持续存在或伴随其他症状(如出血、紫癜等)，则应及时就医进行进一步通过血小板抗体，骨髓穿刺等检查以明确原因并采取相应的治疗措施，建议血液科就诊。
11,血小板增多,检查-疾病,血小板增多常见于1、反应性增多(例如感染、手术、创伤、急性失血、恶性肿瘤等)；2、自发性血小板增多(骨髓增殖性疾病，如真性红细胞增多症、原发性血小板增多症等)及；3、原发性血小板增多症。
12,血小板增多,疾病-建议,血小板增多可能是暂时性的，如轻度感染或应激反应等。如果血小板增多持续存在或伴随其他症状(如出血、血栓形成等)，则应及时就医进行进一步检查以明确原因并采取相应的治疗措施。另外，当血小板增多时，要警惕可能导致的并发症，如血栓形成和出血。因此，对于血小板增多的患者，需要定期进行血常规检查，以监测血小板计数的变化，必要时可寻求血液科医生的帮助。
13,低钙血症,检查-疾病,血清钙低于2mmol/L时，称为低钙血症。
14,低钙血症,疾病-建议,血清钙低于2mmol/L时，称为低钙血症；有症状和体征的低钙血症病人应予治疗，血钙下降的程度和速度决定纠正低钙血症的快慢。若总钙浓度小于1.875mmol/L，无论有无症状均应进行治疗。对于慢性低钙血症首先要治疗基低钙血症因，排查是否存在低镁血症、甲状旁腺功能异常或维生素D缺乏等；另外可以给予口服钙和活性维生素D制剂。
15,低钠血症,检查-疾病,血钠浓度低于135mmol/L为低钠血症
16,低钠血症,疾病-建议,血钠浓度低于135mmol/L为低钠血症；根据肾功能和患者的整体情况，对于无症状或轻度症状的患者，可建议减少水的摄入。对于有症状患者可以通过静脉给予浓盐水来逐渐提高血钠水平。
17,肿瘤标志物异常(PSA),检查-疾病,血清PSA的升高的升高可提示前列腺相关疾病，多见于前列腺炎、前列腺增生、前列腺癌等病变
18,肿瘤标志物异常(PSA<60岁),疾病-建议,血清PSA的升高可提示前列腺相关疾病，多见于前列腺炎、前列腺增生、前列腺癌等病变，建议随访观察或结合影像学检查考虑是否进一步穿刺明确诊断
19,肿瘤标志物异常(PSA>=60岁),疾病-建议,血清PSA的升高可提示前列腺相关疾病，如前列腺癌、前列腺炎、前列腺增生等病变，建议结合患者年龄和影像学检查进一步穿刺明确诊断
20,肿瘤标志物异常(CEA),检查-疾病,CEA升高多见于如肺癌、乳腺癌、胰腺癌、胃癌和甲状腺癌等肿瘤。除了癌症，CEA的升高也可能与非恶性疾病相关，如炎症性肠病、肝病、慢性肺疾病和吸烟等，需要结合其他检查结果和临床症状进行综合评估。
21,肿瘤标志物异常(NSE),检查-疾病,NSE升高主要与小细胞肺癌或其他神经内分泌肿瘤，在前列腺癌中可能与其神经内分泌转化相关，可进一步检测其他神经内分泌肿瘤标志物如血清ProGRP，CgA；
22,肿瘤标志物异常(AFP),检查-疾病,AFP(甲胎蛋白)升高多见于肝脏肿瘤和生殖系胚胎源性肿瘤，以及其他一些恶性肿瘤和非恶性疾病。在急、慢性肝炎、肝硬化等良性肝病，以及妇女妊娠3个月后，AFP均可能出现不同程度的升高。另外，在孕妇中，AFP升高可能与胎儿神经管缺损、脊柱裂、无脑儿等有关。
23,肿瘤标志物异常(ProGRP),检查-疾病,胃泌素释放肽前体血清水平ProGRP升高主要见于小细胞肺癌或其他神经内分泌肿瘤，可进一步检测其他神经内分泌肿瘤标志物如血清NSE，CgA，必要时可行PET-CT寻找原发灶；
24,高甘油三酯血症,检查-疾病,血液中甘油三酯大于1.7mmol/L表示存在高甘油三酯血症
25,高甘油三酯血症,疾病-建议,血液中甘油三酯大于1.7mmol/L表示存在高甘油三酯血症，建议通过生活方式，饮食控制等方式治疗，必要时可给予贝特类、他汀类药物治疗。
26,低钾血症,检查-疾病,血清钾浓度低于3.5mmol/L，称为低钾血症，可能伴有乏力、恶心、呕吐等症状。
27,低钾血症,疾病-建议,血清钾浓度低于3.5mmol/L，称为低钾血症；建议多吃钾含量高的食物，如土豆等，可考虑给予药物治疗，如氯化钾缓释片等补钾。
28,前列腺恶性肿瘤(低PSA),疾病-建议,在前列腺恶性肿瘤患者中，低水平的血清PSA说明治疗效果较好，肿瘤负荷较低；需要询问近期PSA的变化趋势。
